AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
1,3,23,1221,130
0,4,23,640,167
1,3,24,1066,86
0,2,9,640,42
1,3,24,914,274
1,1,11,369,36
0,2,9,640,63
0,5,9,640,104
1,4,16,45,250
1,4,23,364,318
0,5,24,640,5
1,4,24,980,263
1,3,26,1066,88
1,3,24,1365,33
1,3,23,764,338
0,3,14,640,220
0,2,9,640,104
1,1,8,1066,130
0,1,24,72,318
1,3,23,681,5
1,2,13,1158,38
0,4,23,640,318
1,4,24,1109,98
1,3,21,696,130
1,3,13,696,25
0,1,11,640,216
1,4,17,55,165
1,4,27,450,353
0,4,13,640,168
0,3,29,1207,41
0,4,25,640,139
1,2,15,847,38
0,4,13,640,291
1,3,27,540,114
1,3,25,450,88
1,2,25,847,358
1,3,25,1066,130
0,2,13,640,86
0,3,15,640,38
0,2,9,640,104
0,4,29,640,63
0,2,13,640,216
0,1,13,640,104
0,2,26,632,38
0,3,24,640,38
1,3,34,166,307
0,4,31,640,320
0,1,9,640,5
1,4,16,696,25
1,2,28,1091,165
0,1,23,640,296
0,4,14,640,104
0,1,9,640,68
1,3,24,234,204
0,4,13,640,220
0,2,7,640,5
0,4,13,640,139
1,2,23,450,274
1,4,26,214,276
1,3,24,577,130
0,2,23,640,220
1,4,33,1365,114
0,1,11,640,5
1,4,24,559,289
0,5,8,640,5
1,4,28,924,318
1,3,17,1116,38
1,1,13,662,131
0,5,13,640,111
1,4,23,450,226
1,3,13,1329,88
1,3,24,1066,98
1,4,25,718,318
0,1,23,640,5
1,4,26,1365,84
1,4,24,391,274
0,4,14,631,104
0,1,23,640,139
1,3,13,515,5
0,4,24,640,38
1,3,23,449,318
0,5,8,640,63
0,5,10,1251,260
0,2,24,640,63
1,3,34,1066,89
1,3,23,577,130
0,3,13,640,5
0,2,8,640,5
1,1,14,847,38
0,4,14,637,139
1,3,16,1105,98
1,4,25,322,5
1,4,29,908,320
1,4,24,696,36
0,4,15,640,5
1,4,31,192,329
1,3,18,249,38
0,3,13,640,38
0,2,25,640,38
1,3,25,280,194
1,3,27,450,289
1,3,27,307,98
0,1,8,637,41
0,5,8,640,5
0,4,26,640,291
1,3,26,365,289
0,3,13,640,104
1,4,24,450,36
1,3,24,626,318
1,3,31,559,25
1,3,27,167,307
1,3,23,463,362
1,4,24,1066,185
0,2,9,640,104
1,2,16,1066,329
0,2,28,640,216
1,4,23,450,274
1,2,14,450,38
0,1,11,632,139
1,4,25,450,88
1,3,27,559,5
1,3,30,988,5
1,4,13,847,38
0,1,29,640,296
