Name,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
Outros,Dog,Neutered Male,0.05,Outros,Tan/White
Outros,Cat,Intact Female,0.00191780821918,Domestic Shorthair Mix,Outros
Outros,Dog,Spayed Female,0.05,Chihuahua Shorthair Mix,Outros
NA,Cat,Intact Male,0.00383561643836,Domestic Shorthair Mix,Orange Tabby
Outros,Dog,Spayed Female,0.00821917808219,Australian Cattle Dog Mix,Outros
Outros,Dog,Neutered Male,0.00821917808219,Outros,Outros
Outros,Dog,Neutered Male,0.55,Catahoula Mix,Outros
Outros,Dog,Neutered Male,0.0452054794521,Australian Cattle Dog Mix,Tan/White
NA,Cat,Intact Male,0.0164383561644,Domestic Shorthair Mix,Black/White
Outros,Dog,Spayed Female,0.15,Outros,Tricolor
Outros,Dog,Neutered Male,0.25,Chihuahua Shorthair Mix,Outros
Outros,Dog,Spayed Female,0.05,Chihuahua Shorthair Mix,Black/White
NA,Cat,Unknown,0.00041095890411,Domestic Shorthair Mix,Brown Tabby/White
Lucy,Dog,Spayed Female,0.25,Chihuahua Shorthair Mix,Outros
NA,Dog,Spayed Female,0.041095890411,Golden Retriever Mix,Outros
NA,Cat,Neutered Male,0.0246575342466,Domestic Shorthair Mix,Outros
Outros,Dog,Neutered Male,0.2,Australian Shepherd Mix,Outros
NA,Dog,Intact Female,0.0205479452055,Border Collie Mix,Black/White
Outros,Dog,Neutered Male,0.15,Pit Bull Mix,Outros
Outros,Dog,Spayed Female,0.041095890411,Boxer Mix,Outros
Outros,Cat,Spayed Female,0.00821917808219,Siamese Mix,Outros
NA,Cat,Intact Male,0.00041095890411,Domestic Shorthair Mix,Outros
NA,Dog,Spayed Female,0.15,Boxer Mix,Brown/White
Rocky,Cat,Neutered Male,0.00821917808219,Domestic Shorthair Mix,Black/White
Outros,Dog,Intact Male,0.3,Great Pyrenees Mix,Outros
Outros,Dog,Neutered Male,0.2,Chihuahua Shorthair Mix,Black/White
NA,Dog,Neutered Male,0.0452054794521,Outros,Outros
Buster,Dog,Neutered Male,0.05,Outros,Outros
NA,Cat,Intact Male,0.0164383561644,Domestic Medium Hair Mix,Orange Tabby
Outros,Cat,Spayed Female,0.1,Domestic Shorthair Mix,Brown Tabby
NA,Cat,Intact Male,0.00041095890411,Domestic Shorthair Mix,Outros
Outros,Dog,Neutered Male,0.1,Outros,Outros
Outros,Dog,Neutered Male,0.05,Chihuahua Shorthair Mix,Outros
NA,Cat,Spayed Female,0.00821917808219,Domestic Longhair Mix,Outros
Outros,Dog,Spayed Female,0.05,German Shepherd,Outros
Outros,Dog,Spayed Female,0.5,Outros,Outros
Outros,Dog,Neutered Male,0.05,Pit Bull Mix,Outros
Outros,Dog,Intact Male,0.05,Yorkshire Terrier Mix,Outros
Outros,Cat,Spayed Female,0.00821917808219,Domestic Shorthair Mix,Brown Tabby/White
Outros,Dog,Intact Male,0.05,Chihuahua Shorthair Mix,Black
NA,Dog,Intact Female,0.5,Catahoula Mix,Outros
Outros,Dog,Spayed Female,0.1,Chihuahua Shorthair Mix,Outros
Outros,Dog,Neutered Male,0.05,Outros,Outros
Outros,Cat,Spayed Female,0.0164383561644,Domestic Shorthair Mix,Outros
Outros,Dog,Neutered Male,0.25,Chihuahua Shorthair Mix,Outros
Outros,Dog,Neutered Male,0.1,Chihuahua Shorthair,Outros
Outros,Dog,Intact Male,0.0369863013699,Outros,Outros
Cooper,Dog,Neutered Male,0.1,Pit Bull Mix,Outros
Outros,Dog,Spayed Female,0.25,Outros,Outros
Outros,Cat,Spayed Female,0.00821917808219,Outros,Outros
NA,Dog,Unknown,0.00383561643836,Border Collie Mix,Outros
NA,Dog,Intact Female,0.0164383561644,Outros,Black/White
Outros,Cat,Intact Male,0.05,Domestic Shorthair Mix,Outros
Outros,Dog,Neutered Male,0.15,Chihuahua Shorthair,Outros
NA,Cat,Intact Male,0.000958904109589,Domestic Shorthair Mix,Black
NA,Cat,Unknown,0.0246575342466,Domestic Shorthair Mix,Brown Tabby
NA,Cat,Intact Male,0.00821917808219,Domestic Shorthair Mix,Black
NA,Dog,Neutered Male,0.05,Chihuahua Shorthair Mix,Outros
Outros,Dog,Neutered Male,0.2,Outros,Brown/White
NA,Cat,Intact Male,0.00383561643836,Domestic Longhair Mix,Brown Tabby
Outros,Dog,Intact Male,0.25,Outros,Outros
Bella,Dog,Intact Female,0.05,Staffordshire Mix,Outros
NA,Dog,Intact Female,0.00821917808219,Labrador Retriever Mix,Black/White
NA,Dog,Intact Female,0.0041095890411,Pit Bull Mix,Tan/White
Outros,Cat,Spayed Female,0.15,Domestic Shorthair Mix,Orange Tabby
Outros,Dog,Neutered Male,0.05,Pit Bull Mix,Brown/White
Outros,Cat,Intact Female,0.8,Domestic Longhair Mix,Black/White
Outros,Dog,Intact Female,0.05,Pit Bull Mix,Outros
Outros,Dog,Neutered Male,0.5,Outros,Outros
NA,Cat,Intact Female,0.00191780821918,Domestic Shorthair Mix,Brown Tabby
Outros,Dog,Spayed Female,0.00821917808219,Outros,Black/White
Outros,Dog,Intact Male,0.1,Pit Bull Mix,Outros
Outros,Dog,Intact Male,0.15,Boxer Mix,Black
Outros,Dog,Intact Male,0.1,Boxer Mix,Outros
Outros,Dog,Neutered Male,0.4,Outros,Black/White
Outros,Dog,Neutered Male,0.0328767123288,German Shepherd Mix,Outros
NA,Cat,Intact Male,0.15,Domestic Shorthair Mix,Orange Tabby
Outros,Dog,Intact Male,0.1,Pit Bull Mix,Outros
NA,Cat,Neutered Male,0.00821917808219,Domestic Shorthair Mix,Brown Tabby
NA,Dog,Intact Male,0.0164383561644,German Shepherd Mix,Outros
Outros,Dog,Intact Male,0.1,Pit Bull Mix,Outros
NA,Dog,Neutered Male,0.25,Pit Bull Mix,Black/White
Outros,Cat,Spayed Female,0.00821917808219,Domestic Shorthair Mix,Outros
NA,Cat,Intact Male,0.00191780821918,Domestic Shorthair Mix,Black
Outros,Cat,Intact Male,0.00821917808219,Domestic Shorthair Mix,Orange Tabby
Outros,Dog,Neutered Male,0.05,Golden Retriever Mix,Outros
NA,Cat,Intact Male,0.108785036999,Domestic Shorthair Mix,Outros
Outros,Cat,Neutered Male,0.00821917808219,Domestic Shorthair Mix,Brown Tabby/White
NA,Dog,Spayed Female,0.0287671232877,Pit Bull Mix,Outros
NA,Dog,Intact Female,0.0041095890411,Chihuahua Shorthair Mix,White
Sadie,Dog,Spayed Female,0.0041095890411,Border Collie Mix,Black/White
Outros,Cat,Neutered Male,0.1,Domestic Shorthair Mix,Brown Tabby
Bella,Dog,Spayed Female,0.0287671232877,Labrador Retriever Mix,Black/White
Outros,Dog,Neutered Male,0.05,Miniature Pinscher Mix,Outros
NA,Dog,Neutered Male,0.0205479452055,Boxer Mix,Brown/White
Outros,Cat,Intact Female,0.1,Domestic Shorthair Mix,Brown Tabby/White
Outros,Dog,Neutered Male,0.1,American Staffordshire Terrier Mix,Black
NA,Cat,Intact Female,0.1,Domestic Shorthair Mix,Outros
NA,Cat,Intact Female,0.1,Domestic Shorthair Mix,Brown Tabby
Outros,Cat,Neutered Male,0.00821917808219,Domestic Shorthair Mix,Brown Tabby
Outros,Dog,Spayed Female,0.041095890411,Outros,Black/White
Outros,Cat,Neutered Male,0.1,Outros,Outros
Outros,Dog,Spayed Female,0.1,American Pit Bull Terrier Mix,Brown/White
Outros,Dog,Spayed Female,0.1,American Staffordshire Terrier Mix,Outros
